bulan_pengawasan,wilayah,nama_pasar,alamat
Januari ,Jakarta Timur,PD. Pasar Sunan Giri,Jl. Sunan Girim Kel. Rawamangun Kec. Pulo Gadung Jakarta Timur
Januari ,Jakarta Selatan,Pasaraya Blok M,Jl. Iskandarsayah II No. 2 Kel. Melawai Kec. Kebayoran Baru Jakarta Selatan
Februari,Jakarta Utara,PD Pasar Rawa Badak,Jl. Anggrek Kel. Rwabadak Utara Kec. Koja Jakarta Utara
Februari,Jakarta Barat,Neo Soho Mall,Jl. Letjen S. Parman Kav. 28 Kel. Tanjung Duren Selatan Kec. Grogol Petamburan Jakarta Barat
Maret,Jakarta Pusat,PD Pasar Cempaka Putih,Jl. Letjen Suprapto Kel. Cempaka Putih Barat Kec. Cempaka Putih Jakarta Pusat
Maret,Jakarta Timur,Aeon Mall Indonesia,Jakarta Garden City No.6 Cakung Jakarta Timur
April,Jakarta Selatan,PD Pasar Mede,Jl. RS Fatmawati Raya Kel. Cilandak Barat Kec. Cilandak Jakarta Selatan
April,Jakarta Utara,Mall Mangga Dua,Jl. Mangga Dua Raya No.1 Kel. Ancol Kec. Pademangan Jakarta Utara
Mei,Jakarta Selatan,Pacific Place Mall,Jl. Jenderal Sudirman Kav. 52-53 Kel. Senayan Kec. Kebayoran Baru Jakarta Selatan
Mei,Jakarta Pusat,ITC Cemapaka Mas,Jl. Letjen Suprapto Kel. Sumur Batu Kec. Kemayoran Jakarta Pusat
Juni,Jakarta Timur,PD Pasar Kramat Jati,Jl. Raya Bogor Km. 20 Kel. Kramat Jati Kec. Kramat Jati Jakarta Timur
Juni,Jakarta Barat,Plaza Slipi Jaya,Jl. Letjen S Parman Kav. 17-18 Slipi Jakarta Barat
Juli,Jakarta Barat,PD Pasar Glodok,Jl. Medan Glodok Kel. Glodok Kec. Tamansari Jakarta Barat
Juli,Jakarta Selatan,Mall Bellagio Boutique,Jl. Mega Kuningan Barat No. 3 Setiabudi Jakarta Selatan
Agustus,Jakarta Utara,PD Pasar Pluit,Jl. Taman Pluit Kencana Dalam Penjaringan Jakarta Utara
Agustus,Jakarta Timur,Cibubur Junction,Jl. Jambore No.1 Kel. Cibubur Kec. Ciracas Jakarta Timur
September,Jakarta Pusat,PD Pasar Baru Metro Atom,Jl. H. Samanhudi Sawah Besar Jakarta Pusat
September,Jakarta Barat,Lippo Puri Mall,Jl. Puri Indah Boulevard Blok U1 Kel. Kembangan Selatan Kec. Kembangan Jakarta Barat
Oktober,Jakarta Barat,PD Pasar Jaya Pos Pengumben,Jl. Raya Pos Pengumben Blok I No.7 Kel. Sukabumi Selatan Kec. Kebon Jeruk Jakarta Barat
Oktober,Jakarta Selatan,FX Sudirman,Jl. Jenderal Sudirman Kel. Gelora Kec. Tanah Abang Jakarta Pusat
November,Jakarta Selatan,PD Pasar Jaya Mampang Prapatan,Jl. Mampang Prapatan Raya No. 58 Mampang Prapatan Jakarta Selatan
November,Jakarta Utara,Ancol Beach City Mall,Jl. Pantai Karnaval Taman Impian Jaya Ancol Jakarta Utara
Desember,Jakarta Utara,PD Pasar Jaya Tugu,Jl. Kramat Jaya Raya Kel. Tugu Utara Kec. Koja Jakarta Utara
Desember,Jakarta Timur,Tamini Square,Jl. Taman Mini I No.1 Kel. Pinang Ranti Kec. Makasar Jakarta Timur
